Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:theta	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x	NPS_SPEED_POS:ltpp_yd	NPS_SPEED_POS:ltpp_xd
33.809	14:02:27.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
34.059	14:02:27.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
34.309	14:02:28.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
34.559	14:02:28.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
34.809	14:02:28.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
35.059	14:02:28.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
35.309	14:02:29.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
35.559	14:02:29.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
35.809	14:02:29.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
36.059	14:02:29.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
36.309	14:02:30.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
36.559	14:02:30.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
36.809	14:02:30.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
37.059	14:02:30.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
37.309	14:02:31.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
37.559	14:02:31.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
37.809	14:02:31.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
38.059	14:02:31.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
38.309	14:02:32.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
38.559	14:02:32.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
38.809	14:02:32.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
39.059	14:02:32.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
39.309	14:02:33.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
39.559	14:02:33.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
39.809	14:02:33.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
40.059	14:02:33.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
40.309	14:02:34.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
40.559	14:02:34.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
40.809	14:02:34.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
41.059	14:02:34.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
41.309	14:02:35.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
