Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_yd
61.877	13:53:53.564	52.138610849	11.645329527	-18.893924	3.509774	-2.132654
62.127	13:53:53.814	52.138611164	11.645322852	-14.613279	3.053135	-2.696514
62.377	13:53:54.064	52.138611445	11.645314807	-10.016814	2.502213	-3.104686
62.627	13:53:54.314	52.138611726	11.645306306	-6.129041	1.928862	-3.351927
62.877	13:53:54.564	52.138611937	11.645298319	-3.09796	1.381258	-3.478169
63.127	13:53:54.814	52.138612183	11.645289076	-0.271795	0.752894	-3.52782
63.377	13:53:55.064	52.138612358	11.645279320	2.116215	0.08102	-3.494568
63.627	13:53:55.314	52.138612498	11.645270306	3.881037	-0.56063	-3.395974
63.877	13:53:55.564	52.138612639	11.645261519	5.140075	-1.159641	-3.254056
64.127	13:53:55.814	52.138612744	11.645252733	6.062429	-1.748379	-3.072619
64.377	13:53:56.064	52.138612814	11.645244460	6.666062	-2.309573	-2.863645
64.627	13:53:56.314	52.138612850	11.645236872	10.019932	-2.829308	-2.619266
64.877	13:53:56.564	52.138612850	11.645232821	12.738702	-3.12004	-2.386093
65.127	13:53:56.814	52.138612850	11.645228200	14.510829	-3.424754	-2.057314
65.377	13:53:57.064	52.138612779	11.645223407	15.801704	-3.753743	-1.573563
65.627	13:53:57.314	52.138612639	11.645219756	16.730774	-4.001166	-1.028538
65.877	13:53:57.564	52.138612428	11.645217645	17.584671	-4.142421	-0.449181
66.127	13:53:57.814	52.138612218	11.645217132	18.328996	-4.173482	0.063419
66.377	13:53:58.064	52.138611937	11.645217930	19.099645	-4.118434	0.608921
66.627	13:53:58.314	52.138611656	11.645219984	19.845475	-3.973897	1.17588
66.877	13:53:58.564	52.138611340	11.645223921	19.964864	-3.699712	1.835108
67.127	13:53:58.814	52.138610989	11.645229855	16.561144	-3.298828	2.45142
67.377	13:53:59.064	52.138610708	11.645236473	12.272021	-2.825542	2.901077
67.627	13:53:59.314	52.138610392	11.645244974	8.022032	-2.265995	3.222942
67.877	13:53:59.564	52.138610146	11.645253247	4.370115	-1.670206	3.413558
68.127	13:53:59.814	52.138609901	11.645262375	1.392819	-1.067531	3.498196
68.377	13:54:0.064	52.138609725	11.645270534	-0.841342	-0.510071	3.50374
68.627	13:54:0.314	52.138609550	11.645279149	-2.775669	0.088539	3.447726
68.877	13:54:0.564	52.138609374	11.645288049	-4.345093	0.712997	3.332257
69.127	13:54:0.814	52.138609234	11.645296664	-5.451794	1.296191	3.179073
69.377	13:54:1.064	52.138609163	11.645305222	-6.2492	1.873163	2.988696
69.627	13:54:1.314	52.138609093	11.645312811	-6.741252	2.404077	2.780914
69.877	13:54:1.564	52.138609023	11.645319828	-11.184351	2.878421	2.521515
70.127	13:54:1.814	52.138609023	11.645325990	-14.242176	3.288383	2.123594
70.377	13:54:2.064	52.138609058	11.645330954	-15.714761	3.629879	1.644611
70.627	13:54:2.314	52.138609199	11.645334833	-16.692174	3.892062	1.097917
70.877	13:54:2.564	52.138609374	11.645337115	-17.531274	4.045121	0.528336
71.127	13:54:2.814	52.138609620	11.645337743	-18.394609	4.088286	-0.073433
71.377	13:54:3.064	52.138609936	11.645336773	-19.263209	4.016154	-0.699043
71.627	13:54:3.314	52.138610252	11.645334206	-20.078199	3.833266	-1.334667
71.877	13:54:3.564	52.138610603	11.645329299	-19.281309	3.509541	-2.029419
72.127	13:54:3.814	52.138610954	11.645323194	-15.29524	3.080968	-2.602339
72.377	13:54:4.064	52.138611200	11.645316234	-11.139143	2.608851	-2.994299
72.627	13:54:4.314	52.138611516	11.645307961	-7.014083	2.042186	-3.278255
72.877	13:54:4.564	52.138611761	11.645299118	-3.372847	1.418591	-3.442645
73.127	13:54:4.814	52.138612042	11.645289476	-0.352071	0.767885	-3.500104
73.377	13:54:5.064	52.138612253	11.645280290	1.99895	0.125397	-3.471166
73.627	13:54:5.314	52.138612428	11.645271275	3.718963	-0.478386	-3.381848
73.877	13:54:5.564	52.138612604	11.645262603	5.042989	-1.084951	-3.241062
74.127	13:54:5.814	52.138612744	11.645253361	6.011578	-1.692917	-3.054619
74.377	13:54:6.064	52.138612814	11.645245601	6.604738	-2.236565	-2.85244
74.627	13:54:6.314	52.138612885	11.645238755	9.870783	-2.698893	-2.636194
74.877	13:54:6.564	52.138612920	11.645232593	13.613818	-3.127257	-2.27046
75.127	13:54:6.814	52.138612885	11.645226945	15.416278	-3.512995	-1.782417
75.377	13:54:7.064	52.138612779	11.645222495	16.477665	-3.810928	-1.223564
75.627	13:54:7.314	52.138612639	11.645219870	17.329822	-3.991543	-0.645876
75.877	13:54:7.564	52.138612428	11.645218843	18.05996	-4.055137	-0.133991
76.127	13:54:7.814	52.138612183	11.645219128	18.782686	-4.035825	0.380516
76.377	13:54:8.064	52.138611867	11.645220840	19.615634	-3.911128	0.998974
76.627	13:54:8.314	52.138611516	11.645224491	20.203839	-3.656328	1.684189
76.877	13:54:8.564	52.138611200	11.645229683	17.611563	-3.30951	2.284288
77.127	13:54:8.814	52.138610919	11.645236359	13.294693	-2.851308	2.77996
77.377	13:54:9.064	52.138610603	11.645243719	9.066576	-2.329546	3.124475
77.627	13:54:9.314	52.138610322	11.645252676	5.010318	-1.70829	3.356457
77.877	13:54:9.564	52.138610006	11.645262204	1.728627	-1.075895	3.461957
78.127	13:54:9.814	52.138609760	11.645271789	-0.986995	-0.415827	3.471255
78.377	13:54:10.064	52.138609550	11.645280803	-2.997942	0.21777	3.405288
78.627	13:54:10.314	52.138609374	11.645290103	-4.523818	0.840369	3.281832
78.877	13:54:10.564	52.138609199	11.645299004	-5.617407	1.445261	3.114104
79.127	13:54:10.814	52.138609093	11.645307390	-6.349886	2.021261	2.914428
79.377	13:54:11.064	52.138608988	11.645315207	-8.425344	2.549141	2.696752
79.627	13:54:11.314	52.138608953	11.645321882	-13.190911	3.016864	2.335787
79.877	13:54:11.564	52.138608953	11.645327759	-15.166621	3.40299	1.875639
80.127	13:54:11.814	52.138609023	11.645332209	-16.278231	3.710814	1.343965
80.377	13:54:12.064	52.138609163	11.645334947	-17.043996	3.896709	0.841856
80.627	13:54:12.314	52.138609339	11.645336431	-17.876159	4.00035	0.259399
80.877	13:54:12.564	52.138609620	11.645336374	-18.713584	3.993355	-0.336885
81.127	13:54:12.814	52.138609936	11.645334833	-19.50351	3.885119	-0.922203
81.377	13:54:13.064	52.138610252	11.645331581	-20.244666	3.667447	-1.552582
81.627	13:54:13.314	52.138610603	11.645326675	-18.155125	3.325053	-2.193928
81.877	13:54:13.564	52.138610884	11.645320969	-14.272708	2.918955	-2.675771
82.127	13:54:13.814	52.138611200	11.645312582	-9.599981	2.363754	-3.078222
82.377	13:54:14.064	52.138611516	11.645304138	-5.520403	1.759673	-3.324151
82.627	13:54:14.314	52.138611796	11.645294725	-2.096467	1.121509	-3.445506
82.877	13:54:14.564	52.138612077	11.645285596	0.506246	0.512023	-3.467083
83.127	13:54:14.814	52.138612288	11.645276581	2.669633	-0.132301	-3.412709
83.377	13:54:15.064	52.138612498	11.645268252	4.145435	-0.700987	-3.31074
83.627	13:54:15.314	52.138612639	11.645259694	5.270812	-1.264953	-3.166795
83.877	13:54:15.564	52.138612779	11.645252505	6.034985	-1.780247	-3.00169
84.127	13:54:15.814	52.138612885	11.645244403	6.594337	-2.32526	-2.794266
84.377	13:54:16.064	52.138612955	11.645237329	9.237523	-2.806623	-2.574444
84.627	13:54:16.314	52.138612990	11.645230996	13.387708	-3.225467	-2.220392
84.877	13:54:16.564	52.138612990	11.645225747	15.31537	-3.593419	-1.749039
85.127	13:54:16.814	52.138612920	11.645221582	16.367455	-3.869231	-1.229524
85.377	13:54:17.064	52.138612779	11.645219071	17.190045	-4.044521	-0.684261
85.627	13:54:17.314	52.138612569	11.645217987	17.995029	-4.117272	-0.118256
85.877	13:54:17.564	52.138612323	11.645218330	18.781622	-4.0892	0.445366
86.127	13:54:17.814	52.138612007	11.645220384	19.651712	-3.942862	1.096725
86.377	13:54:18.064	52.138612007	11.645220384	19.660729	-3.940657	1.103878
86.627	13:54:18.314	52.138612007	11.645220384	19.660729	-3.940657	1.103878
86.877	13:54:18.564	52.138612007	11.645220384	19.660729	-3.940657	1.103878
87.127	13:54:18.814	52.138612007	11.645220384	19.660729	-3.940657	1.103878
87.377	13:54:19.064	52.138612007	11.645220384	19.660729	-3.940657	1.103878
87.627	13:54:19.314	52.138612007	11.645220384	19.660729	-3.940657	1.103878
87.877	13:54:19.564	52.138612007	11.645220384	19.660729	-3.940657	1.103878
88.127	13:54:19.814	52.138611972	11.645220555	19.660729	-3.940657	1.103878
88.377	13:54:20.064	52.138611972	11.645220555	19.660729	-3.940657	1.103878
