Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x
84.798	05:12:40.798	52.138569810	11.645311156	2.282366	-4.595937
85.048	05:12:41.048	52.138565387	11.645319885	2.890742	-5.096225
85.298	05:12:41.298	52.138561033	11.645327930	3.429381	-5.571742
85.548	05:12:41.548	52.138556715	11.645334263	3.853067	-6.044805
85.798	05:12:41.798	52.138551906	11.645339397	4.207563	-6.588489
86.048	05:12:42.048	52.138547061	11.645342707	4.428738	-7.118903
86.298	05:12:42.298	52.138542708	11.645344019	4.520016	-7.620997
86.548	05:12:42.548	52.138539163	11.645343734	4.494288	-8.011985
86.798	05:12:42.798	52.138535652	11.645341737	4.355318	-8.394499
87.048	05:12:43.048	52.138532844	11.645338370	4.120056	-8.707342
87.298	05:12:43.298	52.138530527	11.645333635	3.806417	-8.956301
87.548	05:12:43.548	52.138528912	11.645328443	3.437201	-9.140567
87.798	05:12:43.798	52.138527718	11.645322167	3.001164	-9.272375
88.048	05:12:44.048	52.138527086	11.645316005	2.581446	-9.3411
88.298	05:12:44.298	52.138526805	11.645309615	2.157847	-9.36812
88.548	05:12:44.548	52.138526911	11.645303511	1.741977	-9.35852
88.798	05:12:44.798	52.138527472	11.645295980	1.218195	-9.292765
89.048	05:12:45.048	52.138528736	11.645287365	0.633238	-9.150413
89.298	05:12:45.298	52.138531018	11.645277837	-0.049357	-8.884273
89.548	05:12:45.548	52.138534423	11.645267681	-0.721503	-8.515713
89.798	05:12:45.798	52.138537969	11.645259180	-1.316701	-8.112049
90.048	05:12:46.048	52.138542427	11.645249880	-1.930169	-7.631171
90.298	05:12:46.298	52.138547412	11.645240695	-2.585631	-7.054605
90.548	05:12:46.548	52.138551836	11.645233164	-3.102136	-6.560828
90.798	05:12:46.798	52.138556575	11.645225519	-3.617924	-6.038866
91.048	05:12:47.048	52.138561420	11.645218615	-4.080595	-5.507047
91.298	05:12:47.298	52.138566826	11.645213024	-4.453234	-4.91591
91.548	05:12:47.548	52.138572443	11.645209258	-4.71585	-4.276988
91.798	05:12:47.798	52.138578621	11.645206976	-4.869022	-3.595132
92.048	05:12:48.048	52.138584449	11.645206463	-4.902514	-2.947169
92.298	05:12:48.298	52.138589996	11.645207604	-4.822939	-2.331655
92.548	05:12:48.548	52.138595051	11.645210399	-4.620594	-1.749058
92.798	05:12:48.798	52.138599264	11.645214393	-4.344876	-1.284604
93.048	05:12:49.048	52.138603195	11.645219927	-3.967396	-0.852882
93.298	05:12:49.298	52.138606355	11.645226146	-3.536895	-0.503232
93.548	05:12:49.548	52.138608672	11.645232365	-3.122043	-0.255471
93.798	05:12:49.798	52.138610357	11.645238527	-2.689062	-0.064723
94.048	05:12:50.048	52.138611586	11.645244917	-2.270105	0.069212
94.298	05:12:50.298	52.138612885	11.645251364	-1.812386	0.217435
94.548	05:12:50.548	52.138614886	11.645259465	-1.256194	0.445455
